,global,local,fusion
0,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.36319765 0.73588485 0.28502795 ... 0.33693367 0.62317467 0.7347282 ]
 [0.34990942 0.74916923 0.26855224 ... 0.31545773 0.6235223  0.7503204 ]
 [0.3946769  0.70125777 0.31399575 ... 0.38265818 0.60981995 0.7057963 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.60063994 0.5692585  0.4600595  ... 0.5082863  0.6857178  0.5893895 ]
 [0.59233356 0.55708283 0.4731714  ... 0.51835483 0.66381925 0.58017534]
 [0.5709572  0.55259097 0.51108456 ... 0.49312416 0.64014703 0.55745393]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.73113257 0.32529584 0.42761862 ... 0.5660838  0.79232186 0.55512536]
 [0.7227757  0.31542104 0.439183   ... 0.5533525  0.80034447 0.5905347 ]
 [0.6684454  0.3898738  0.43842673 ... 0.55222785 0.7362848  0.57236844]]"
1,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.36713573 0.7389112  0.27136308 ... 0.348962   0.6278055  0.74724895]
 [0.41061586 0.6692421  0.3436028  ... 0.41250026 0.58931047 0.6722073 ]
 [0.41513994 0.66485864 0.35401204 ... 0.40559012 0.58468217 0.67304254]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.598502   0.5826662  0.46241257 ... 0.51040655 0.68399096 0.57956356]
 [0.5864935  0.5521029  0.5045766  ... 0.5108466  0.6573917  0.57756865]
 [0.5974475  0.55409235 0.4991175  ... 0.5130711  0.6745144  0.57243085]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.7169437  0.3344918  0.41837525 ... 0.56972045 0.7998345  0.56119347]
 [0.6944699  0.39402574 0.4279754  ... 0.55400896 0.7323128  0.549287  ]
 [0.7138784  0.3915237  0.4226234  ... 0.5416567  0.7452657  0.53064287]]"
2,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.39921245 0.6824419  0.33568323 ... 0.40137345 0.6016858  0.6855058 ]
 [0.40447634 0.68323094 0.3352064  ... 0.41665423 0.6021833  0.6844148 ]
 [0.40502825 0.67866194 0.33791664 ... 0.40234903 0.59342635 0.6816648 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.57892686 0.55026525 0.49220324 ... 0.4987255  0.6430569  0.54938304]
 [0.6009849  0.56857985 0.48092756 ... 0.5075298  0.66620857 0.5628825 ]
 [0.57840955 0.54170704 0.5017336  ... 0.49472043 0.6283455  0.5454764 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.67460406 0.3927861  0.43228304 ... 0.54945683 0.7305692  0.5523036 ]
 [0.7003608  0.3793798  0.41561103 ... 0.55146766 0.75466603 0.5047293 ]
 [0.6666318  0.39422485 0.44560984 ... 0.53955203 0.71829575 0.55870587]]"
3,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.39621025 0.70048445 0.31987494 ... 0.3951845  0.61098856 0.69708675]
 [0.34188527 0.75227576 0.27195162 ... 0.3117461  0.62842906 0.7565093 ]
 [0.38978723 0.70995945 0.3141113  ... 0.3827209  0.61975414 0.7101811 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5747487  0.548755   0.51041    ... 0.4972456  0.6340925  0.55510396]
 [0.59348    0.56936437 0.47520652 ... 0.50720394 0.67881215 0.5713666 ]
 [0.5896795  0.5670812  0.4984611  ... 0.50067747 0.64860195 0.5580269 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6658277  0.39850834 0.43400404 ... 0.5605077  0.74075913 0.5533086 ]
 [0.73115027 0.3126897  0.43207556 ... 0.5580697  0.8114007  0.57634443]
 [0.6912182  0.3625299  0.44087446 ... 0.55969656 0.7598738  0.55265844]]"
4,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.37271616 0.71871364 0.2978377  ... 0.32681423 0.5917651  0.7247573 ]
 [0.4213728  0.64921486 0.3708132  ... 0.3973527  0.5700097  0.6447286 ]
 [0.40496156 0.6730771  0.3461964  ... 0.3899678  0.58283293 0.66425145]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.57131857 0.5576316  0.47618926 ... 0.4947381  0.6365638  0.5659582 ]
 [0.5803029  0.53838056 0.50396925 ... 0.5193617  0.637684   0.56633365]
 [0.5726563  0.5492422  0.49776733 ... 0.49670163 0.61981857 0.5502159 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6810401  0.3425273  0.45563373 ... 0.55228186 0.7636905  0.6028457 ]
 [0.67505133 0.3986446  0.4395068  ... 0.5562686  0.72283316 0.56028473]
 [0.65943664 0.38515365 0.44733512 ... 0.5490447  0.72035635 0.56522363]]"
5,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.45078337 0.6081304  0.40689257 ... 0.4522815  0.5586135  0.6106241 ]
 [0.44490287 0.6173055  0.39994332 ... 0.45098558 0.5667817  0.6172918 ]
 [0.44437876 0.6149776  0.39962807 ... 0.45293373 0.56502014 0.6176431 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5885867  0.5523468  0.5129858  ... 0.49682796 0.62900424 0.550153  ]
 [0.5744533  0.54118127 0.5247232  ... 0.490274   0.60624176 0.5489784 ]
 [0.5765524  0.56080204 0.5158901  ... 0.4990162  0.6316703  0.5509098 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.66142803 0.42053583 0.43719384 ... 0.53991723 0.6770325  0.51678365]
 [0.64257646 0.42718804 0.4472058  ... 0.5382949  0.664151   0.5170136 ]
 [0.6615474  0.42758068 0.42907903 ... 0.5500472  0.6786596  0.5095852 ]]"
6,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.40694228 0.67630965 0.3391332  ... 0.41559464 0.5993531  0.6777125 ]
 [0.3883315  0.7241068  0.2935699  ... 0.38915658 0.6314079  0.72563064]
 [0.38699672 0.714695   0.2978769  ... 0.39134437 0.62618834 0.72227836]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5887795  0.55615133 0.51301384 ... 0.50345194 0.6531501  0.55708253]
 [0.60047007 0.56799734 0.47599563 ... 0.49233472 0.6692678  0.56458735]
 [0.60409725 0.5649493  0.4974253  ... 0.5021716  0.67039126 0.5621354 ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6905077  0.40130174 0.43206376 ... 0.55066335 0.7315458  0.54139066]
 [0.699256   0.3653701  0.4273355  ... 0.5688855  0.77373254 0.54004884]
 [0.70141715 0.37260255 0.42841223 ... 0.55076176 0.7600513  0.54825723]]"
7,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.42120236 0.65350294 0.36336845 ... 0.3923393  0.5713413  0.65358895]
 [0.3518634  0.7356671  0.27932897 ... 0.32010546 0.6142365  0.7483433 ]
 [0.4176964  0.66218454 0.3554206  ... 0.3926799  0.58030504 0.66590345]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5835477  0.543693   0.5071939  ... 0.5068755  0.6380513  0.5577614 ]
 [0.5872017  0.56738687 0.46787694 ... 0.49412775 0.66709447 0.58029914]
 [0.58470434 0.56198984 0.5017009  ... 0.5104689  0.6491367  0.56864333]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.68586767 0.38330334 0.44717538 ... 0.5508904  0.72026485 0.5563916 ]
 [0.71684015 0.3255035  0.4347458  ... 0.5619548  0.7963296  0.5788522 ]
 [0.6939608  0.373635   0.4433595  ... 0.5468063  0.7302335  0.55472916]]"
8,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.39767948 0.68624794 0.33095518 ... 0.3719787  0.5907116  0.6875892 ]
 [0.36000773 0.7360306  0.2847958  ... 0.3268828  0.620253   0.7380169 ]
 [0.3765481  0.7154599  0.29981124 ... 0.33638334 0.59845704 0.7223517 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.58767134 0.55564255 0.4956478  ... 0.49637017 0.6240315  0.5411704 ]
 [0.5842737  0.5691195  0.47671288 ... 0.5197494  0.6717416  0.5805031 ]
 [0.58048064 0.54916954 0.49928802 ... 0.4943146  0.64137006 0.55928016]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6716219  0.3707636  0.45059228 ... 0.54321706 0.73439056 0.5776909 ]
 [0.7153538  0.3305101  0.43391144 ... 0.5660339  0.79403913 0.56431377]
 [0.6929035  0.34276745 0.4505043  ... 0.5392078  0.7606586  0.58188075]]"
9,"[[0.40991613 0.6617882  0.35170263 ... 0.41581637 0.5872738  0.6567232 ]
 [0.38600674 0.7184142  0.29992375 ... 0.37905213 0.6198574  0.7218431 ]
 [0.40609664 0.67582613 0.34435436 ... 0.4086562  0.5976381  0.67763275]
 ...
 [0.42025617 0.64311826 0.36541525 ... 0.4162986  0.57927525 0.64278287]
 [0.430663   0.62897784 0.38026488 ... 0.43116322 0.5733295  0.6277731 ]
 [0.42437968 0.63426554 0.37283713 ... 0.42334285 0.5737782  0.6346368 ]]","[[0.5923831  0.5496313  0.49702254 ... 0.5129105  0.6440129  0.56687975]
 [0.58664453 0.56009966 0.47470838 ... 0.48463538 0.6621748  0.57278746]
 [0.59656245 0.5684322  0.49639624 ... 0.5200982  0.6483692  0.561929  ]
 ...
 [0.5806189  0.5365773  0.5086561  ... 0.50169045 0.6348096  0.55839604]
 [0.5841607  0.53598833 0.50292116 ... 0.51948    0.65983796 0.5888158 ]
 [0.58436966 0.5483507  0.507195   ... 0.5138008  0.65402293 0.567219  ]]","[[0.68030673 0.39394704 0.4337672  ... 0.5531677  0.72450954 0.5317767 ]
 [0.69436616 0.36550033 0.4319722  ... 0.5664643  0.76024437 0.55408823]
 [0.6918194  0.38220242 0.42360058 ... 0.5466215  0.741345   0.52251107]
 ...
 [0.6759595  0.40433317 0.4374583  ... 0.54846257 0.70294744 0.5553323 ]
 [0.6959287  0.41426486 0.42746714 ... 0.56305134 0.70872545 0.52473557]
 [0.696591   0.4026755  0.42692629 ... 0.56216437 0.71540403 0.5428162 ]]"
